id,created_at,updated_at,name,quantity,price,order,brand
1961,2023-11-06 05:46:25,2023-11-06 05:46:25,Sandisk Ultra Micro SDXC UHS 128 GB,1,178000,1961,SANDISK
1,2023-11-03 07:25:36,2023-11-03 07:25:36,Chino Pants Erigo,1,129000,1,Erigo
2,2023-11-03 07:25:36,2023-11-03 07:25:36,Erigo Coach Jacket Fujinkai Black Unisex,1,155000,2,Erigo
3,2023-11-03 07:25:36,2023-11-03 07:25:36,Erigo T-Shirt Kuina Navy Unisex,1,250000,3,Erigo
4,2023-11-03 07:25:36,2023-11-03 07:25:36,Erigo Chino Pants Beryl Emerald Unisex,1,149000,4,Erigo
5,2023-11-03 07:25:36,2023-11-03 07:25:36,Erigo Jogger Pants Jessie Black,1,149000,5,Erigo
6,2023-11-03 07:25:36,2023-11-03 07:25:36,ROBOT - Mousepad Anti Slip RP05 Gaming Polos Hitam Murah Rubber Original,1,14900,6,ROBOT
7,2023-11-03 07:25:36,2023-11-03 07:25:36,Mouse Wireless ROBOT M205 2.4G 1600DPI Receiver USB untuk PC Laptop-Garansi Resmi 1 Tahun,1,89900,7,ROBOT
8,2023-11-03 07:25:36,2023-11-03 07:25:36,ROBOT Portable Mini Wireless Set Combo Keyboard and Mouse KM3100 Original Garansi 1 Tahun,1,151900,8,ROBOT
9,2023-11-03 07:25:36,2023-11-03 07:25:36,Robot TWS Wireless Earphone Airbuds T30 PLUS Original BT 5.3 Original Garansi 1 Tahun,1,134900,9,ROBOT
10,2023-11-03 07:25:36,2023-11-03 07:25:36,ROBOT Stand Holder Laptop Portable Lipat Anti Slip Kompatibel dengan Semua Jenis Laptop dan Tablet RT-LS03 Original,1,45900,10,ROBOT
11,2023-11-03 07:25:36,2023-11-03 07:25:36,SanDisk CZ50 Cruzer Blade USB 2.0 - 8 GB,1,38500,11,SANDISK
12,2023-11-03 07:25:36,2023-11-03 07:25:36,SanDisk Max Endurance 128GB 100MB/s MicroSDXC - 4K Ultra HD,1,541500,12,SANDISK
13,2023-11-03 07:25:36,2023-11-03 07:25:36,SanDisk SSD PLUS Solid 240GB SPEED UP/TO 530MB/S,1,541500,13,SANDISK
14,2023-11-03 07:25:36,2023-11-03 07:25:36,SANDISK FLASHDISK 128GB / USB FLASH 128GB / SANDISK BLADE CZ50 128GB,1,124500,14,SANDISK
15,2023-11-03 07:25:36,2023-11-03 07:25:36,Sandisk Ultra Micro SDXC UHS I A1 140Mbps 128GB Micro Sd Card Class 10 - QUAB,1,178000,15,SANDISK
16,2023-11-03 07:25:35,2023-11-03 07:25:35,TEAMGROUP SSD M2 SATA 2280 MS30 2TB ( 2000GB ),1,3020000,16,TEAMGROUP
17,2023-11-03 07:25:35,2023-11-03 07:25:35,TEAMGROUP SSD 2.5 CX2 Series 256GB Sata3,1,285000,17,TEAMGROUP
18,2023-11-03 07:25:35,2023-11-03 07:25:35,TEAMGROUP SSD 2.5 GX2 128GB Grey,1,220000,18,TEAMGROUP
19,2023-11-03 07:25:35,2023-11-03 07:25:35,Teamgroup Elite Plus Memory DDR4 4GB PC 2666Mhz ( 21300 ) Black,1,240000,19,TEAMGROUP
20,2023-11-03 07:25:35,2023-11-03 07:25:35,Teamgroup SSD TEAM MP33 256GB M.2 NVMe (1800MB/s),1,297000,20,TEAMGROUP
21,2023-11-03 07:25:35,2023-11-03 07:25:35,GM Bear Panci Listrik Fry Pan Electric (2in1) 1692 - Panci Penggorengan Keramik Elektrik Free Steamer,1,99000,21,GM
22,2023-11-03 07:25:34,2023-11-03 07:25:34,GM Bear Spatula Set isi 6psc 1073 - Utensil Spatula Sutil Set,1,26010,22,GM
23,2023-11-03 07:25:34,2023-11-03 07:25:34,GM Bear Wajan 16cm 1072 - Fry Pan Penggorengan Mini,1,34900,23,GM
24,2023-11-03 07:25:34,2023-11-03 07:25:34,GM Bear Organizer Rak Multifungsi P0177 - Organizer Storage Shelves Space Efficient Drawer,1,124500,24,GM
25,2023-11-03 07:25:34,2023-11-03 07:25:34,GM Bear Alat Pemanggang Daging Hotpot Elektrik (2 in 1) 1247 - Denki BBQ Grill Pan Steamboat Electric,1,34900,25,GM
26,2023-11-03 07:25:34,2023-11-03 07:25:34,Rinnai Kompor Gas 3 Tungku RI 524 E,1,874700,26,Rinnai
27,2023-11-03 07:25:34,2023-11-03 07:25:34,Rinnai Kompor Gas 1 Tungku RI TL 289 / TL289,1,696000,27,Rinnai
28,2023-11-03 07:25:34,2023-11-03 07:25:34,Rinnai Sparepart Burner Head Tornado Kompor Seri 5/6/7,1,87100,28,Rinnai
29,2023-11-03 07:25:34,2023-11-03 07:25:34,Rinnai Kompor Gas 1 Tungku RI 301S / 301S,1,220900,29,Rinnai
30,2023-11-03 07:25:34,2023-11-03 07:25:34,Rinnai Kompor Gas 2 Tungku RI 2 RSP / 2 RSP,1,1859300,30,Rinnai
31,2023-11-03 07:25:34,2023-11-03 07:25:34,Xiaomi TV A2 43 [FHD] Smart HD Dolby Audio� Android TV� Google Play Netflix Disney+,1,2790000,31,Xiaomi
32,2023-11-03 07:25:34,2023-11-03 07:25:34,Xiaomi Redmi Buds 4 Active - Bluetooth® 5.3 IPX4 Baterai Hingga 28 Jam Koneksi Mudah,1,249000,32,Xiaomi
33,2023-11-03 07:25:33,2023-11-03 07:25:33,Xiaomi POCO X5 Pro 5G (6GB/128GB) | (8GB/256GB) Snapdragon 778G 5G 120Hz AMOLED 67W 108MP NFC,1,3819000,33,Xiaomi
34,2023-11-03 07:25:33,2023-11-03 07:25:33,"Xiaomi TV Box S (2nd Gen) 4K Ultra HD Streaming Media Player, Google TV Box with 2GB RAM 8GB ROM, 2.4G/5G Dual WiFi, Bluetooth 5.2 & Dolby Audio and DTS-HD, Dolby Vision, HDR10+",1,1044802,34,Xiaomi
35,2023-11-03 07:25:33,2023-11-03 07:25:33,"Xiaomi POCO M5 (4/64GB) | (4/128GB) Helio G99 50MP AI Triple Kamera Layar 90Hz FHD+ 6,58” 5000mAh NFC",1,1599000,35,Xiaomi
36,2023-11-03 07:25:33,2023-11-03 07:25:33,BARDI Smart Indoor PTZ IP Camera CCTV Wifi IoT Home Automation + Micro SD,1,108000,36,BARDI
37,2023-11-03 07:25:33,2023-11-03 07:25:33,BARDI Smart LIGHT BULB RGBWW 12W Wifi Wireless IoT - Home Automation (Lampu Tidur Kekinian),1,120000,37,BARDI
38,2023-11-03 07:25:33,2023-11-03 07:25:33,BARDI Smart UNIVERSAL IR REMOTE 12M Wifi Wireless IoT For Home Automation,1,135000,38,BARDI
39,2023-11-03 07:25:33,2023-11-03 07:25:33,BARDI Bundling Smart IP Camera CCTV Outdoor PTZ + Micro SD,1,15000,39,BARDI
40,2023-11-03 07:25:33,2023-11-03 07:25:33,BARDI Dual Smart Plug,1,230000,40,BARDI
41,2023-11-03 07:25:33,2023-11-03 07:25:33,Chino Pants Erigo,1,129000,41,Erigo
42,2023-11-03 07:25:32,2023-11-03 07:25:32,Erigo Coach Jacket Fujinkai Black Unisex,1,155000,42,Erigo
